AIRPORT,DATE,FLTS,TOT_A100,TOT_REF,TOT_ADD,AVG_ADD,REF_YEAR
SBBR,2021-09,4684,118569.33333333333,99224.46958333332,19344.863750000004,4.129987991033306,2023
SBBR,2021-10,4516,114690.21666666666,95045.42708333333,19644.78958333333,4.350041980366106,2023
SBBR,2021-11,5087,129012.78333333334,106700.65291666666,22312.13041666668,4.38610780748313,2023
SBBR,2021-12,5141,131243.85,107823.78916666667,23420.060833333337,4.5555457757894064,2023
SBBR,2022-01,4034,98698.98333333334,84308.64666666667,14390.33666666667,3.567262435960999,2023
SBBR,2022-02,3732,92998.98333333334,78188.04541666666,14810.937916666677,3.968632882279388,2023
SBBR,2022-03,4596,113454.7,97444.39499999999,16010.305000000008,3.483530243690167,2023
SBBR,2022-04,3668,89917.73333333334,77763.05208333333,12154.681250000009,3.3137080834242116,2023
SBBR,2022-05,4822,119814.28333333334,102031.8875,17782.395833333343,3.687763549011477,2023
SBBR,2022-06,4160,102173.73333333334,88233.75291666666,13939.980416666673,3.350956830929489,2023
SBBR,2022-07,5268,129801.93333333333,111530.81874999999,18271.114583333343,3.4683209155909913,2023
SBBR,2022-08,5244,129519,110726.94291666667,18792.057083333333,3.583534912916349,2023
SBBR,2022-09,5068,126015.55,106866.53,19149.020000000004,3.7784175217048155,2023
SBBR,2022-10,5203,127312.56666666667,109165.89916666667,18146.667499999996,3.4877315971554865,2023
SBBR,2022-11,4644,116636,97455.85916666666,19180.14083333334,4.130090618719496,2023
SBBR,2022-12,5396,134463.45,112710.93041666667,21752.519583333342,4.031230463923896,2023
SBBR,2023-01,5370,131547.93333333332,112174.9525,19372.98083333332,3.607631440099315,2023
SBBR,2023-02,4579,111727.3,96550.08833333333,15177.21166666667,3.3145253694401986,2023
SBBR,2023-03,5048,124240.73333333334,106287.85833333332,17952.875000000015,3.556433240887483,2023
SBBR,2023-04,4901,121097.16666666667,103020.48708333333,18076.679583333345,3.6883655546487137,2023
SBBR,2023-05,5842,144454.66666666666,123205.06125,21249.605416666658,3.6373853845714925,2023
SBBR,2023-06,5610,139866.08333333334,118758.49208333333,21107.591250000012,3.7624939839572216,2023
SBBR,2023-07,5389,132264.31666666668,113740.405,18523.91166666668,3.437356033896211,2023
SBBR,2023-08,5526,135206.15,116557.82083333333,18648.329166666663,3.374652400772107,2023
SBBR,2023-09,5169,126327.6,109093.7425,17233.857500000013,3.334079609208747,2023
SBBR,2023-10,5286,127969.68333333333,111260.26208333333,16709.42125,3.161070989405978,2023
SBBR,2023-11,5008,121299.18333333333,105181.64375,16117.539583333331,3.2183585429978696,2023
SBBR,2023-12,5304,130436.53333333334,111343.30291666667,19093.230416666673,3.599779490321771,2023
SBBR,2024-01,4852,119988.08333333333,101281.11624999999,18706.967083333337,3.8555167113217923,2023
SBBR,2024-02,4725,114507.15,99417.59041666666,15089.559583333335,3.193557583774251,2023
SBBR,2024-03,5366,130870.35,112809.06,18061.290000000008,3.3658758852031325,2023
