APT,PHASE,DATE,MVTS,ADD_TIME,AVG_ADD_TIME
SBPA,TXOT,2019-07-05,96,477.7,4.976041666666666
SBCF,TXOT,2019-07-05,149,820.56,5.507114093959731
SBGL,TXOT,2019-07-05,119,616.98,5.184705882352941
SBSV,TXOT,2019-07-05,81,407.54,5.031358024691358
SBCT,TXOT,2019-07-06,66,226.71,3.435
SBRJ,TXOT,2019-07-06,90,316.51,3.5167777777777776
SBSP,TXOT,2019-07-06,192,501.87,2.61390625
SBPA,TXOT,2019-07-06,73,344.21,4.715205479452054
SBKP,TXOT,2019-07-06,133,822.43,6.183684210526315
SBGL,TXOT,2019-07-06,124,676.69,5.4571774193548395
SBBR,TXOT,2019-07-06,131,404.40999999999997,3.087099236641221
SBGR,TXOT,2019-07-06,353,1916.98,5.430538243626063
SBSV,TXOT,2019-07-06,73,257.84,3.5320547945205476
SBCF,TXOT,2019-07-06,121,576.0600000000001,4.760826446280992
SBSP,TXOT,2019-07-07,188,505.71999999999997,2.69
SBGR,TXOT,2019-07-07,321,1503.56,4.683987538940809
SBGL,TXOT,2019-07-07,111,292.7,2.636936936936937
SBBR,TXOT,2019-07-07,125,368.92,2.95136
SBKP,TXOT,2019-07-07,133,787.51,5.921127819548872
SBCF,TXOT,2019-07-07,129,670.2,5.195348837209303
SBPA,TXOT,2019-07-07,80,320.85,4.010625
SBSV,TXOT,2019-07-07,67,266.23,3.973582089552239
SBRJ,TXOT,2019-07-07,94,325.73,3.465212765957447
SBCT,TXOT,2019-07-07,73,351.33,4.812739726027397
SBSP,TXOT,2019-07-08,245,710.46,2.899836734693878
SBGR,TXOT,2019-07-08,375,1826.6,4.870933333333333
SBGL,TXOT,2019-07-08,120,529.64,4.413666666666667
SBCF,TXOT,2019-07-08,143,797,5.573426573426573
SBBR,TXOT,2019-07-08,173,449.92,2.600693641618497
SBPA,TXOT,2019-07-08,93,374.22,4.023870967741936
SBCT,TXOT,2019-07-08,87,269.42,3.0967816091954026
SBRJ,TXOT,2019-07-08,124,559.35,4.510887096774193
SBSV,TXOT,2019-07-08,88,417.4,4.743181818181818
SBKP,TXOT,2019-07-08,164,1102.72,6.72390243902439
SBGR,TXOT,2019-07-09,366,1476.8700000000001,4.03516393442623
SBSP,TXOT,2019-07-09,223,542.15,2.431165919282511
SBBR,TXOT,2019-07-09,184,631.5,3.432065217391304
SBGL,TXOT,2019-07-09,113,464.81,4.1133628318584075
SBPA,TXOT,2019-07-09,91,711.58,7.81956043956044
SBRJ,TXOT,2019-07-09,117,376.13,3.2147863247863246
SBCF,TXOT,2019-07-09,149,618.18,4.1488590604026845
SBSV,TXOT,2019-07-09,82,327.09,3.98890243902439
SBCT,TXOT,2019-07-09,82,628.13,7.660121951219512
SBKP,TXOT,2019-07-09,163,1042.12,6.393374233128834
SBSP,TXOT,2019-07-10,247,986.61,3.9943724696356275
SBGL,TXOT,2019-07-10,116,412.44,3.5555172413793104
SBRJ,TXOT,2019-07-10,125,407.86,3.26288
SBBR,TXOT,2019-07-10,185,751.07,4.059837837837838
SBPA,TXOT,2019-07-10,94,438.65,4.666489361702127
SBGR,TXOT,2019-07-10,358,2207.98,6.167541899441341
SBCF,TXOT,2019-07-10,145,673.27,4.643241379310345
SBSV,TXOT,2019-07-10,81,351.8,4.34320987654321
SBKP,TXOT,2019-07-10,162,930.64,5.744691358024691
SBCT,TXOT,2019-07-10,85,355.67,4.184352941176471
SBPA,TXOT,2019-07-11,96,264.25,2.7526041666666665
SBBR,TXOT,2019-07-11,183,650.8,3.556284153005464
SBGL,TXOT,2019-07-11,118,492.86,4.176779661016949
SBGR,TXOT,2019-07-11,373,1605.05,4.303083109919571
SBSP,TXOT,2019-07-11,239,871.39,3.6459832635983265
SBRJ,TXOT,2019-07-11,121,413.27,3.4154545454545455
SBCF,TXOT,2019-07-11,150,774.8100000000001,5.1654
SBSV,TXOT,2019-07-11,80,318.74,3.9842500000000003
SBKP,TXOT,2019-07-11,163,991,6.079754601226994
SBCT,TXOT,2019-07-11,88,363.77,4.13375
SBRJ,TXOT,2019-07-12,128,385.68,3.013125
SBGL,TXOT,2019-07-12,121,572.54,4.731735537190082
SBGR,TXOT,2019-07-12,374,1634.26,4.369679144385027
SBCF,TXOT,2019-07-12,152,745.27,4.903092105263158
SBBR,TXOT,2019-07-12,173,479,2.76878612716763
SBSV,TXOT,2019-07-12,84,421.15,5.013690476190476
SBSP,TXOT,2019-07-12,246,1159.29,4.7125609756097555
SBCT,TXOT,2019-07-12,92,413.42,4.493695652173913
SBKP,TXOT,2019-07-12,163,1079.38,6.62196319018405
SBPA,TXOT,2019-07-12,101,484.29,4.794950495049505
SBGR,TXOT,2019-07-13,353,1517.44,4.298696883852691
SBSV,TXOT,2019-07-13,78,403.03,5.167051282051282
