ICAO,YEAR,MONTH,TOT_FLTS_MONTH
SBPA,2019,6,6107
SBPA,2019,7,6644
SBPA,2019,8,6966
SBPA,2019,9,6519
SBPA,2019,10,6687
SBPA,2019,11,6574
SBPA,2019,12,7281
SBPA,2020,1,7079
SBPA,2020,2,6485
SBPA,2020,3,4938
SBPA,2020,4,780
SBPA,2020,5,991
SBPA,2020,6,1295
SBPA,2020,7,1588
SBPA,2020,8,1810
SBPA,2020,9,2101
SBPA,2020,10,2918
SBPA,2020,11,3630
SBPA,2020,12,4308
SBPA,2021,1,4252
SBPA,2021,2,3301
SBPA,2021,3,2719
SBPA,2021,4,2194
SBPA,2021,5,2775
SBPA,2021,6,3485
SBPA,2021,7,4472
SBPA,2021,8,4706
SBPA,2021,9,4631
SBPA,2021,10,4975
SBPA,2021,11,5835
SBPA,2021,12,5927
SBPA,2022,1,5324
SBPA,2022,2,4378
SBPA,2022,3,5225
SBPA,2022,4,5436
SBPA,2022,5,5883
SBPA,2022,6,5535
SBPA,2022,7,5988
SBPA,2022,8,5694
SBPA,2022,9,5431
SBPA,2022,10,5617
SBPA,2022,11,5843
SBPA,2022,12,6086
SBPA,2023,1,5743
SBPA,2023,2,4922
SBPA,2023,3,6141
SBPA,2023,4,5881
SBPA,2023,5,6326
SBPA,2023,6,6310
SBPA,2023,7,6500
SBPA,2023,8,6771
SBPA,2023,9,5794
SBPA,2023,10,6059
SBPA,2023,11,6275
SBPA,2023,12,6212
SBPA,2024,1,5734
SBPA,2024,2,5349
SBPA,2024,3,6073
SBPA,2024,4,6120
SBPA,2024,5,549
SBPA,2024,10,1049
SBPA,2024,11,3492
SBPA,2024,12,4020
SBRJ,2019,1,8547
SBRJ,2019,2,7847
SBRJ,2019,3,8363
SBRJ,2019,4,8341
SBRJ,2019,5,8456
SBRJ,2019,6,7678
SBRJ,2019,7,8342
SBRJ,2019,8,7004
SBRJ,2019,9,4153
SBRJ,2019,10,9550
SBRJ,2019,11,9260
SBRJ,2019,12,9871
SBRJ,2020,1,10056
SBRJ,2020,2,9049
SBRJ,2020,3,6625
SBRJ,2020,4,857
SBRJ,2020,5,993
SBRJ,2020,6,1587
SBRJ,2020,7,2342
SBRJ,2020,8,3145
SBRJ,2020,9,4125
SBRJ,2020,10,5283
SBRJ,2020,11,5737
SBRJ,2020,12,6799
SBRJ,2021,1,6931
SBRJ,2021,2,5388
SBRJ,2021,3,4789
SBRJ,2021,4,3598
SBRJ,2021,5,4799
SBRJ,2021,6,5551
SBRJ,2021,7,6698
SBRJ,2021,8,6652
SBRJ,2021,9,7022
SBRJ,2021,10,7131
SBRJ,2021,11,7878
SBRJ,2021,12,8446
SBRJ,2022,1,7219
SBRJ,2022,2,6705
SBRJ,2022,3,8092
SBRJ,2022,4,9425
SBRJ,2022,5,9872
SBRJ,2022,6,9069
SBRJ,2022,7,9846
SBRJ,2022,8,10113
SBRJ,2022,9,9994
SBRJ,2022,10,10400
SBRJ,2022,11,10403
SBRJ,2022,12,10740
SBRJ,2023,1,10462
SBRJ,2023,2,9751
SBRJ,2023,3,11491
SBRJ,2023,4,10684
SBRJ,2023,5,11645
SBRJ,2023,6,11067
SBRJ,2023,7,11243
SBRJ,2023,8,11675
SBRJ,2023,9,11139
SBRJ,2023,10,8895
SBRJ,2023,11,8284
SBRJ,2023,12,6894
SBRJ,2024,1,5220
SBRJ,2024,2,5558
SBRJ,2024,3,5753
SBRJ,2024,4,6420
SBRJ,2024,5,6572
SBRJ,2024,6,6161
SBRJ,2024,7,6484
SBRJ,2024,8,6667
SBRJ,2024,9,6604
SBRJ,2024,10,6533
SBRJ,2024,11,5649
SBRJ,2024,12,6070
SBSP,2019,1,18502
SBSP,2019,2,16961
SBSP,2019,3,18023
SBSP,2019,4,17970
SBSP,2019,5,17860
SBSP,2019,6,16837
SBSP,2019,7,17759
SBSP,2019,8,18556
SBSP,2019,9,18371
SBSP,2019,10,19451
SBSP,2019,11,18988
SBSP,2019,12,19078
SBSP,2020,1,18720
SBSP,2020,2,17340
SBSP,2020,3,12937
SBSP,2020,4,1740
SBSP,2020,5,2214
SBSP,2020,6,3141
SBSP,2020,7,4682
SBSP,2020,8,4272
SBSP,2020,9,5737
SBSP,2020,10,8009
SBSP,2020,11,8948
SBSP,2020,12,10496
SBSP,2021,1,11311
SBSP,2021,2,9061
SBSP,2021,3,7623
SBSP,2021,4,6039
SBSP,2021,5,7782
SBSP,2021,6,8632
SBSP,2021,7,11271
SBSP,2021,8,11056
SBSP,2021,9,12254
SBSP,2021,10,12749
SBSP,2021,11,13754
SBSP,2021,12,15672
SBSP,2022,1,14294
SBSP,2022,2,12229
SBSP,2022,3,14257
SBSP,2022,4,16191
SBSP,2022,5,17640
SBSP,2022,6,16052
SBSP,2022,7,17444
SBSP,2022,8,17703
SBSP,2022,9,16667
SBSP,2022,10,17557
SBSP,2022,11,18342
SBSP,2022,12,18819
SBSP,2023,1,18563
SBSP,2023,2,16882
SBSP,2023,3,19927
SBSP,2023,4,18840
SBSP,2023,5,20294
SBSP,2023,6,18972
SBSP,2023,7,20128
SBSP,2023,8,20826
SBSP,2023,9,19680
SBSP,2023,10,19727
SBSP,2023,11,18864
SBSP,2023,12,19664
SBSP,2024,1,19199
SBSP,2024,2,18232
SBSP,2024,3,19900
SBSP,2024,4,20552
SBSP,2024,5,19413
SBSP,2024,6,19164
SBSP,2024,7,19601
SBSP,2024,8,20232
SBSP,2024,9,19208
SBSP,2024,10,19974
SBSP,2024,11,19319
SBSP,2024,12,19892
SBSV,2019,1,8056
SBSV,2019,2,6454
SBSV,2019,3,6841
SBSV,2019,4,5581
SBSV,2019,5,5232
SBSV,2019,6,5424
SBSV,2019,7,6917
SBSV,2019,8,6575
SBSV,2019,9,6346
SBSV,2019,10,6797
SBSV,2019,11,6836
SBSV,2019,12,7831
SBSV,2020,1,7878
SBSV,2020,2,7100
SBSV,2020,3,4882
SBSV,2020,4,1452
SBSV,2020,5,1760
SBSV,2020,6,1850
SBSV,2020,7,2475
SBSV,2020,8,2961
SBSV,2020,9,3623
SBSV,2020,10,4752
SBSV,2020,11,4843
SBSV,2020,12,6438
SBSV,2021,1,7125
SBSV,2021,2,5144
SBSV,2021,3,4909
SBSV,2021,4,3653
SBSV,2021,5,4218
SBSV,2021,6,5017
SBSV,2021,7,6001
SBSV,2021,8,5625
SBSV,2021,9,6115
SBSV,2021,10,6443
SBSV,2021,11,6459
SBSV,2021,12,7569
SBSV,2022,1,7714
SBSV,2022,2,6267
SBSV,2022,3,6659
SBSV,2022,4,6122
SBSV,2022,5,5974
SBSV,2022,6,6008
SBSV,2022,7,6656
SBSV,2022,8,6373
SBSV,2022,9,6043
SBSV,2022,10,6081
SBSV,2022,11,5712
SBSV,2022,12,6758
SBSV,2023,1,6972
SBSV,2023,2,5989
SBSV,2023,3,5920
SBSV,2023,4,5772
SBSV,2023,5,5959
SBSV,2023,6,6166
SBSV,2023,7,7118
SBSV,2023,8,6742
SBSV,2023,9,6497
SBSV,2023,10,6667
SBSV,2023,11,6435
SBSV,2023,12,7414
SBSV,2024,1,7629
SBSV,2024,2,6579
SBSV,2024,3,6273
SBSV,2024,4,5906
SBSV,2024,5,6176
SBSV,2024,6,6455
SBSV,2024,7,7330
SBSV,2024,8,6660
SBSV,2024,9,6803
SBSV,2024,10,6805
SBSV,2024,11,6199
SBSV,2024,12,7238
