DEP_CNTRY,IS_STUDY,DES_CNTRY,TFC_TYPE,DES_PRU,DEPS,REGION,YEAR
AT,FALSE,LU,regional,Eurocontrol,968,EUR,2024
BE,FALSE,BG,regional,Eurocontrol,968,EUR,2024
GB,TRUE,KW,international,Middle East,966,EUR,2024
DE,TRUE,AL,regional,Eurocontrol,965,EUR,2024
SK,FALSE,GR,regional,Eurocontrol,963,EUR,2024
AL,FALSE,BE,regional,Eurocontrol,962,EUR,2024
CH,FALSE,PL,regional,Eurocontrol,961,EUR,2024
GR,FALSE,HR,regional,Eurocontrol,959,EUR,2024
RS,FALSE,GB,regional,Eurocontrol,957,EUR,2024
FR,TRUE,HK,international,China,956,EUR,2024
BE,FALSE,AL,regional,Eurocontrol,955,EUR,2024
CH,FALSE,CZ,regional,Eurocontrol,952,EUR,2024
GR,FALSE,MT,regional,Eurocontrol,951,EUR,2024
PT,FALSE,DK,regional,Eurocontrol,951,EUR,2024
RS,FALSE,RS,regional,Eurocontrol,948,EUR,2024
NL,FALSE,AT,regional,Eurocontrol,944,EUR,2024
FR,FALSE,BG,regional,Eurocontrol,941,EUR,2024
FI,FALSE,CZ,regional,Eurocontrol,940,EUR,2024
SI,FALSE,SI,regional,Eurocontrol,939,EUR,2024
MT,FALSE,GR,regional,Eurocontrol,936,EUR,2024
PT,TRUE,AE,international,Middle East,933,EUR,2024
TR,FALSE,SG,international,Asia,928,EUR,2024
SK,FALSE,AT,regional,Eurocontrol,927,EUR,2024
GB,TRUE,TN,international,Africa,926,EUR,2024
ES,FALSE,US,international,Northern America,924,EUR,2024
AT,FALSE,SK,regional,Eurocontrol,918,EUR,2024
RS,FALSE,AE,international,Middle East,918,EUR,2024
SK,FALSE,DE,regional,Eurocontrol,918,EUR,2024
CZ,FALSE,FI,regional,Eurocontrol,917,EUR,2024
PT,TRUE,PL,regional,Eurocontrol,917,EUR,2024
CY,FALSE,AE,international,Middle East,916,EUR,2024
HR,FALSE,GR,regional,Eurocontrol,915,EUR,2024
HU,FALSE,EG,international,Middle East,913,EUR,2024
CH,FALSE,SE,regional,Eurocontrol,911,EUR,2024
PT,TRUE,TR,regional,Eurocontrol,911,EUR,2024
CY,FALSE,LB,international,Middle East,908,EUR,2024
ME,FALSE,PL,regional,Eurocontrol,904,EUR,2024
PT,FALSE,CA,international,Northern America,904,EUR,2024
CH,FALSE,NA,NA,NA,902,EUR,2024
ES,FALSE,BG,regional,Eurocontrol,902,EUR,2024
GB,FALSE,CV,international,Africa,902,EUR,2024
AT,FALSE,BA,regional,Eurocontrol,898,EUR,2024
PL,FALSE,ME,regional,Eurocontrol,898,EUR,2024
CH,TRUE,RO,regional,Eurocontrol,896,EUR,2024
BA,FALSE,AT,regional,Eurocontrol,895,EUR,2024
FR,FALSE,CY,regional,Eurocontrol,894,EUR,2024
FI,FALSE,US,international,Northern America,893,EUR,2024
GB,TRUE,BG,regional,Eurocontrol,893,EUR,2024
LU,FALSE,AT,regional,Eurocontrol,892,EUR,2024
BE,FALSE,HK,international,China,888,EUR,2024
RO,FALSE,CY,regional,Eurocontrol,888,EUR,2024
ES,FALSE,GR,regional,Eurocontrol,887,EUR,2024
MD,FALSE,EG,international,Middle East,886,EUR,2024
CY,FALSE,RO,regional,Eurocontrol,885,EUR,2024
HU,FALSE,CZ,regional,Eurocontrol,885,EUR,2024
MK,FALSE,AT,regional,Eurocontrol,885,EUR,2024
AT,FALSE,MK,regional,Eurocontrol,884,EUR,2024
ES,TRUE,VE,international,Southern America,881,EUR,2024
IT,FALSE,IN,international,Asia,875,EUR,2024
NL,TRUE,ZA,international,Africa,871,EUR,2024
LU,FALSE,US,international,Northern America,870,EUR,2024
ME,FALSE,GB,regional,Eurocontrol,869,EUR,2024
ES,TRUE,RS,regional,Eurocontrol,866,EUR,2024
FR,FALSE,QA,international,Middle East,865,EUR,2024
FR,TRUE,LU,regional,Eurocontrol,864,EUR,2024
LV,FALSE,AT,regional,Eurocontrol,864,EUR,2024
AT,FALSE,LV,regional,Eurocontrol,860,EUR,2024
LU,FALSE,CN,international,China,856,EUR,2024
CZ,FALSE,TN,international,Africa,855,EUR,2024
RS,FALSE,SE,regional,Eurocontrol,852,EUR,2024
MT,FALSE,CH,regional,Eurocontrol,847,EUR,2024
PT,TRUE,DK,regional,Eurocontrol,847,EUR,2024
HR,FALSE,CZ,regional,Eurocontrol,846,EUR,2024
SE,FALSE,RS,regional,Eurocontrol,845,EUR,2024
GB,FALSE,IL,international,Middle East,838,EUR,2024
LV,FALSE,NL,regional,Eurocontrol,837,EUR,2024
CH,TRUE,LU,regional,Eurocontrol,836,EUR,2024
CH,TRUE,IN,international,Asia,832,EUR,2024
IT,FALSE,BH,international,Middle East,831,EUR,2024
SE,FALSE,PT,regional,Eurocontrol,830,EUR,2024
DE,FALSE,GE,regional,Eurocontrol,828,EUR,2024
HR,FALSE,NO,regional,Eurocontrol,828,EUR,2024
DE,FALSE,SK,regional,Eurocontrol,825,EUR,2024
GB,FALSE,SA,international,Middle East,825,EUR,2024
NL,TRUE,LV,regional,Eurocontrol,825,EUR,2024
CZ,FALSE,HR,regional,Eurocontrol,824,EUR,2024
CZ,FALSE,HU,regional,Eurocontrol,824,EUR,2024
PT,FALSE,AT,regional,Eurocontrol,823,EUR,2024
AM,FALSE,IT,regional,Eurocontrol,822,EUR,2024
IE,FALSE,AT,regional,Eurocontrol,821,EUR,2024
IT,FALSE,AM,regional,Eurocontrol,821,EUR,2024
NO,FALSE,HR,regional,Eurocontrol,821,EUR,2024
DE,TRUE,XK,NA,NA,817,EUR,2024
ES,FALSE,DZ,international,Africa,817,EUR,2024
GE,FALSE,BY,international,Asia,816,EUR,2024
NL,TRUE,NL,regional,Eurocontrol,814,EUR,2024
AT,FALSE,IE,regional,Eurocontrol,813,EUR,2024
NL,TRUE,MX,international,Southern America,812,EUR,2024
PL,FALSE,QA,international,Middle East,812,EUR,2024
FR,FALSE,FI,regional,Eurocontrol,811,EUR,2024
CH,TRUE,FI,regional,Eurocontrol,810,EUR,2024
LT,FALSE,NL,regional,Eurocontrol,805,EUR,2024
TR,FALSE,TZ,international,Africa,804,EUR,2024
TR,FALSE,ZA,international,Africa,802,EUR,2024
AT,FALSE,ME,regional,Eurocontrol,798,EUR,2024
DE,TRUE,HK,international,China,798,EUR,2024
DK,FALSE,NA,NA,NA,798,EUR,2024
NO,FALSE,LT,regional,Eurocontrol,798,EUR,2024
GB,FALSE,HK,international,China,796,EUR,2024
RS,FALSE,HU,regional,Eurocontrol,796,EUR,2024
ES,TRUE,CU,international,Southern America,795,EUR,2024
LT,FALSE,NO,regional,Eurocontrol,795,EUR,2024
CH,FALSE,LU,regional,Eurocontrol,794,EUR,2024
DE,FALSE,SI,regional,Eurocontrol,791,EUR,2024
PL,FALSE,RS,regional,Eurocontrol,791,EUR,2024
RO,FALSE,NA,NA,NA,787,EUR,2024
LV,FALSE,FR,regional,Eurocontrol,786,EUR,2024
ME,FALSE,AT,regional,Eurocontrol,786,EUR,2024
AT,FALSE,XK,NA,NA,784,EUR,2024
NL,TRUE,KR,international,Asia,784,EUR,2024
MT,FALSE,BE,regional,Eurocontrol,783,EUR,2024
FR,TRUE,LB,international,Middle East,782,EUR,2024
DK,FALSE,QA,international,Middle East,781,EUR,2024
CH,TRUE,TH,international,Asia,780,EUR,2024
GB,TRUE,KE,international,Africa,780,EUR,2024
MT,FALSE,TR,regional,Eurocontrol,779,EUR,2024
TR,FALSE,CA,international,Northern America,779,EUR,2024
PL,FALSE,MD,regional,Eurocontrol,778,EUR,2024
GE,FALSE,IR,international,Middle East,777,EUR,2024
RS,FALSE,PL,regional,Eurocontrol,777,EUR,2024
HU,FALSE,RS,regional,Eurocontrol,776,EUR,2024
MD,FALSE,PL,regional,Eurocontrol,776,EUR,2024
SE,FALSE,US,international,Northern America,776,EUR,2024
CH,FALSE,TN,international,Africa,775,EUR,2024
IT,FALSE,JP,international,Asia,775,EUR,2024
NL,TRUE,BR,international,Southern America,773,EUR,2024
AM,FALSE,CY,regional,Eurocontrol,772,EUR,2024
HU,FALSE,PT,regional,Eurocontrol,772,EUR,2024
TR,FALSE,MT,regional,Eurocontrol,771,EUR,2024
TR,FALSE,NG,international,Africa,770,EUR,2024
AL,FALSE,ES,regional,Eurocontrol,768,EUR,2024
RO,FALSE,RS,regional,Eurocontrol,768,EUR,2024
CY,FALSE,AM,regional,Eurocontrol,767,EUR,2024
CZ,FALSE,NA,NA,NA,766,EUR,2024
SI,FALSE,TR,regional,Eurocontrol,766,EUR,2024
DE,FALSE,IQ,international,Middle East,761,EUR,2024
DE,TRUE,DO,international,Southern America,760,EUR,2024
NL,TRUE,SG,international,Asia,760,EUR,2024
TR,FALSE,SI,regional,Eurocontrol,757,EUR,2024
RS,FALSE,RO,regional,Eurocontrol,756,EUR,2024
SI,FALSE,CH,regional,Eurocontrol,754,EUR,2024
BE,FALSE,MT,regional,Eurocontrol,753,EUR,2024
IE,FALSE,IS,international,Northern America,748,EUR,2024
IT,FALSE,JO,international,Middle East,747,EUR,2024
FR,FALSE,IL,international,Middle East,746,EUR,2024
ES,TRUE,EC,international,Southern America,745,EUR,2024
FR,TRUE,MU,international,Africa,745,EUR,2024
CY,FALSE,HU,regional,Eurocontrol,744,EUR,2024
BE,FALSE,IL,international,Middle East,743,EUR,2024
AT,FALSE,QA,international,Middle East,739,EUR,2024
ES,FALSE,LV,regional,Eurocontrol,737,EUR,2024
RO,FALSE,QA,international,Middle East,737,EUR,2024
CZ,FALSE,SE,regional,Eurocontrol,735,EUR,2024
NL,FALSE,BG,regional,Eurocontrol,735,EUR,2024
TR,FALSE,MY,international,Asia,735,EUR,2024
FR,TRUE,SA,international,Middle East,734,EUR,2024
HU,FALSE,IE,regional,Eurocontrol,734,EUR,2024
IE,FALSE,QA,international,Middle East,730,EUR,2024
SE,FALSE,CZ,regional,Eurocontrol,730,EUR,2024
CH,FALSE,IE,regional,Eurocontrol,729,EUR,2024
DE,FALSE,MD,regional,Eurocontrol,729,EUR,2024
GR,FALSE,SA,international,Middle East,729,EUR,2024
TR,FALSE,ET,international,Africa,729,EUR,2024
AT,FALSE,NO,regional,Eurocontrol,728,EUR,2024
MK,FALSE,CH,regional,Eurocontrol,728,EUR,2024
FI,FALSE,IS,international,Northern America,726,EUR,2024
FR,TRUE,SN,NA,NA,726,EUR,2024
NL,TRUE,IL,international,Middle East,725,EUR,2024
EE,FALSE,DK,regional,Eurocontrol,723,EUR,2024
RS,FALSE,BA,regional,Eurocontrol,722,EUR,2024
GB,TRUE,LV,regional,Eurocontrol,721,EUR,2024
AM,FALSE,IR,international,Middle East,720,EUR,2024
IT,FALSE,ET,international,Africa,719,EUR,2024
PT,TRUE,AT,regional,Eurocontrol,718,EUR,2024
IE,FALSE,HU,regional,Eurocontrol,717,EUR,2024
MT,FALSE,AT,regional,Eurocontrol,717,EUR,2024
CY,FALSE,CH,regional,Eurocontrol,716,EUR,2024
DK,FALSE,EE,regional,Eurocontrol,716,EUR,2024
AT,FALSE,MT,regional,Eurocontrol,714,EUR,2024
BA,FALSE,RS,regional,Eurocontrol,713,EUR,2024
FR,TRUE,RS,regional,Eurocontrol,712,EUR,2024
EE,FALSE,GB,regional,Eurocontrol,710,EUR,2024
CY,FALSE,RS,regional,Eurocontrol,709,EUR,2024
NL,TRUE,SA,international,Middle East,705,EUR,2024
TR,FALSE,ID,international,Asia,702,EUR,2024
CH,TRUE,SG,international,Asia,701,EUR,2024
GB,TRUE,MY,international,Asia,698,EUR,2024
NL,FALSE,BE,regional,Eurocontrol,698,EUR,2024
SI,FALSE,IT,regional,Eurocontrol,698,EUR,2024
ES,FALSE,LT,regional,Eurocontrol,697,EUR,2024
ME,FALSE,DE,regional,Eurocontrol,697,EUR,2024
NL,TRUE,KE,international,Africa,697,EUR,2024
DK,FALSE,RO,regional,Eurocontrol,694,EUR,2024
FR,TRUE,KE,international,Africa,694,EUR,2024
FR,TRUE,RE,international,Africa,694,EUR,2024
CH,TRUE,QA,international,Middle East,690,EUR,2024
DE,TRUE,KZ,international,Asia,690,EUR,2024
ES,TRUE,SN,NA,NA,690,EUR,2024
IT,FALSE,HK,international,China,690,EUR,2024
MK,FALSE,IT,regional,Eurocontrol,689,EUR,2024
FR,TRUE,VN,international,Asia,688,EUR,2024
NO,FALSE,PT,regional,Eurocontrol,688,EUR,2024
NL,FALSE,HU,regional,Eurocontrol,687,EUR,2024
RO,FALSE,DK,regional,Eurocontrol,687,EUR,2024
RO,FALSE,BG,regional,Eurocontrol,683,EUR,2024
BG,FALSE,RO,regional,Eurocontrol,682,EUR,2024
NL,FALSE,RO,regional,Eurocontrol,681,EUR,2024
RS,FALSE,CY,regional,Eurocontrol,676,EUR,2024
SI,FALSE,FR,regional,Eurocontrol,675,EUR,2024
GB,TRUE,KR,international,Asia,674,EUR,2024
GR,FALSE,PT,regional,Eurocontrol,674,EUR,2024
RS,FALSE,MK,regional,Eurocontrol,673,EUR,2024
DE,TRUE,TW,international,Asia,672,EUR,2024
IT,FALSE,AZ,international,Asia,671,EUR,2024
SE,FALSE,IS,international,Northern America,668,EUR,2024
HU,FALSE,SE,regional,Eurocontrol,666,EUR,2024
DE,FALSE,HK,international,China,665,EUR,2024
GB,FALSE,BH,international,Middle East,663,EUR,2024
MK,FALSE,RS,regional,Eurocontrol,662,EUR,2024
CH,TRUE,IL,international,Middle East,660,EUR,2024
CH,TRUE,MT,regional,Eurocontrol,660,EUR,2024
DE,TRUE,VN,international,Asia,660,EUR,2024
GB,TRUE,IL,international,Middle East,660,EUR,2024
LT,FALSE,FR,regional,Eurocontrol,660,EUR,2024
ES,TRUE,AL,regional,Eurocontrol,656,EUR,2024
AM,FALSE,EG,international,Middle East,654,EUR,2024
TR,FALSE,VN,international,Asia,647,EUR,2024
HU,FALSE,CY,regional,Eurocontrol,646,EUR,2024
DE,TRUE,JO,international,Middle East,645,EUR,2024
GE,FALSE,GR,regional,Eurocontrol,644,EUR,2024
PT,FALSE,TR,regional,Eurocontrol,644,EUR,2024
SE,FALSE,HU,regional,Eurocontrol,644,EUR,2024
FR,TRUE,TH,international,Asia,643,EUR,2024
ES,TRUE,KR,international,Asia,640,EUR,2024
FR,TRUE,CI,international,Africa,640,EUR,2024
CZ,FALSE,IE,regional,Eurocontrol,636,EUR,2024
GE,FALSE,SA,international,Middle East,635,EUR,2024
LU,FALSE,TR,regional,Eurocontrol,635,EUR,2024
NL,TRUE,HK,international,China,635,EUR,2024
HR,FALSE,NA,NA,NA,633,EUR,2024
IT,FALSE,AR,international,Southern America,633,EUR,2024
GR,FALSE,GE,regional,Eurocontrol,632,EUR,2024
BG,FALSE,RS,regional,Eurocontrol,631,EUR,2024
IE,FALSE,CZ,regional,Eurocontrol,631,EUR,2024
DE,TRUE,DZ,international,Africa,630,EUR,2024
ES,FALSE,HR,regional,Eurocontrol,629,EUR,2024
CH,TRUE,SI,regional,Eurocontrol,627,EUR,2024
RS,FALSE,BG,regional,Eurocontrol,627,EUR,2024
MD,FALSE,IL,international,Middle East,626,EUR,2024
GB,FALSE,ME,regional,Eurocontrol,624,EUR,2024
CY,FALSE,SE,regional,Eurocontrol,623,EUR,2024
EE,FALSE,IT,regional,Eurocontrol,622,EUR,2024
TR,FALSE,LU,regional,Eurocontrol,619,EUR,2024
SE,FALSE,CY,regional,Eurocontrol,618,EUR,2024
BE,FALSE,NA,NA,NA,616,EUR,2024
IT,FALSE,EE,regional,Eurocontrol,616,EUR,2024
AM,FALSE,DE,regional,Eurocontrol,615,EUR,2024
CH,TRUE,MK,regional,Eurocontrol,613,EUR,2024
GB,FALSE,IN,international,Asia,613,EUR,2024
CZ,FALSE,QA,international,Middle East,610,EUR,2024
IE,FALSE,SE,regional,Eurocontrol,610,EUR,2024
PL,FALSE,IS,international,Northern America,610,EUR,2024
AT,FALSE,MD,regional,Eurocontrol,609,EUR,2024
MD,FALSE,AT,regional,Eurocontrol,609,EUR,2024
NO,FALSE,US,international,Northern America,609,EUR,2024
FI,FALSE,TH,international,Asia,608,EUR,2024
GE,FALSE,FR,regional,Eurocontrol,608,EUR,2024
IE,FALSE,FI,regional,Eurocontrol,607,EUR,2024
SE,FALSE,IE,regional,Eurocontrol,607,EUR,2024
FI,FALSE,IE,regional,Eurocontrol,604,EUR,2024
MK,FALSE,FR,regional,Eurocontrol,603,EUR,2024
DE,TRUE,KE,international,Africa,602,EUR,2024
HU,FALSE,MT,regional,Eurocontrol,597,EUR,2024
BG,FALSE,DK,regional,Eurocontrol,595,EUR,2024
CH,TRUE,CY,regional,Eurocontrol,595,EUR,2024
GR,FALSE,LT,regional,Eurocontrol,593,EUR,2024
DK,FALSE,EG,international,Middle East,592,EUR,2024
NO,FALSE,AT,regional,Eurocontrol,592,EUR,2024
AL,FALSE,RS,regional,Eurocontrol,589,EUR,2024
MT,FALSE,HU,regional,Eurocontrol,589,EUR,2024
DK,FALSE,BG,regional,Eurocontrol,588,EUR,2024
LT,FALSE,GR,regional,Eurocontrol,586,EUR,2024
GB,TRUE,JO,international,Middle East,585,EUR,2024
NO,FALSE,IE,regional,Eurocontrol,585,EUR,2024
FR,FALSE,MK,regional,Eurocontrol,584,EUR,2024
RS,FALSE,AL,regional,Eurocontrol,583,EUR,2024
IE,FALSE,NO,regional,Eurocontrol,582,EUR,2024
TR,FALSE,AF,international,Asia,582,EUR,2024
BE,FALSE,IS,international,Northern America,581,EUR,2024
BE,FALSE,CA,international,Northern America,580,EUR,2024
GE,FALSE,AM,regional,Eurocontrol,580,EUR,2024
TR,FALSE,BR,international,Southern America,580,EUR,2024
LV,FALSE,BE,regional,Eurocontrol,576,EUR,2024
NL,FALSE,HR,regional,Eurocontrol,576,EUR,2024
DK,FALSE,AE,international,Middle East,575,EUR,2024
HR,FALSE,FI,regional,Eurocontrol,575,EUR,2024
TR,FALSE,PH,international,Asia,575,EUR,2024
BE,FALSE,LV,regional,Eurocontrol,573,EUR,2024
FR,TRUE,XF,NA,NA,571,EUR,2024
GR,FALSE,CA,international,Northern America,571,EUR,2024
AT,FALSE,TH,international,Asia,570,EUR,2024
FI,FALSE,HR,regional,Eurocontrol,570,EUR,2024
FI,FALSE,HU,regional,Eurocontrol,569,EUR,2024
CH,TRUE,HK,international,China,567,EUR,2024
AT,FALSE,CA,international,Northern America,562,EUR,2024
BG,FALSE,CY,regional,Eurocontrol,562,EUR,2024
DE,FALSE,ME,regional,Eurocontrol,562,EUR,2024
SI,FALSE,GB,regional,Eurocontrol,561,EUR,2024
GB,TRUE,DZ,international,Africa,560,EUR,2024
MT,FALSE,LY,international,Africa,560,EUR,2024
CY,FALSE,BG,regional,Eurocontrol,559,EUR,2024
GB,FALSE,EE,regional,Eurocontrol,559,EUR,2024
ES,TRUE,TN,international,Africa,558,EUR,2024
AM,FALSE,FR,regional,Eurocontrol,557,EUR,2024
DE,FALSE,BH,international,Middle East,557,EUR,2024
PT,TRUE,GR,regional,Eurocontrol,557,EUR,2024
AM,FALSE,GE,regional,Eurocontrol,556,EUR,2024
BG,FALSE,CH,regional,Eurocontrol,556,EUR,2024
HU,FALSE,FI,regional,Eurocontrol,555,EUR,2024
IT,FALSE,SG,international,Asia,551,EUR,2024
ES,TRUE,UY,international,Southern America,550,EUR,2024
GB,TRUE,LB,international,Middle East,548,EUR,2024
GE,FALSE,CY,regional,Eurocontrol,547,EUR,2024
TR,FALSE,MX,international,Southern America,545,EUR,2024
CH,FALSE,FI,regional,Eurocontrol,544,EUR,2024
GE,FALSE,IT,regional,Eurocontrol,544,EUR,2024
GE,FALSE,QA,international,Middle East,544,EUR,2024
FR,FALSE,SA,international,Middle East,542,EUR,2024
LU,FALSE,AE,international,Middle East,542,EUR,2024
NL,FALSE,CH,regional,Eurocontrol,542,EUR,2024
DE,FALSE,EE,regional,Eurocontrol,540,EUR,2024
FR,FALSE,SN,NA,NA,539,EUR,2024
RS,FALSE,CZ,regional,Eurocontrol,537,EUR,2024
GB,TRUE,ET,international,Africa,534,EUR,2024
HR,FALSE,MK,regional,Eurocontrol,534,EUR,2024
GB,TRUE,GH,international,Africa,533,EUR,2024
MK,FALSE,HR,regional,Eurocontrol,533,EUR,2024
SE,FALSE,QA,international,Middle East,532,EUR,2024
ES,TRUE,IS,international,Northern America,531,EUR,2024
GB,TRUE,LU,regional,Eurocontrol,529,EUR,2024
CZ,FALSE,RS,regional,Eurocontrol,527,EUR,2024
CY,FALSE,MT,regional,Eurocontrol,526,EUR,2024
AT,FALSE,CN,international,China,525,EUR,2024
HU,FALSE,BG,regional,Eurocontrol,524,EUR,2024
GR,FALSE,LB,international,Middle East,522,EUR,2024
SK,FALSE,PL,regional,Eurocontrol,522,EUR,2024
DE,TRUE,OM,international,Middle East,521,EUR,2024
GE,FALSE,KW,international,Middle East,520,EUR,2024
IT,FALSE,GE,regional,Eurocontrol,520,EUR,2024
AM,FALSE,AT,regional,Eurocontrol,519,EUR,2024
CY,FALSE,GE,regional,Eurocontrol,519,EUR,2024
ES,FALSE,MR,international,Africa,518,EUR,2024
GR,FALSE,MK,regional,Eurocontrol,518,EUR,2024
PT,TRUE,CZ,regional,Eurocontrol,517,EUR,2024
AL,FALSE,CZ,regional,Eurocontrol,516,EUR,2024
CZ,FALSE,AL,regional,Eurocontrol,515,EUR,2024
FR,TRUE,LV,regional,Eurocontrol,515,EUR,2024
LT,FALSE,IE,regional,Eurocontrol,515,EUR,2024
PL,FALSE,SK,regional,Eurocontrol,515,EUR,2024
AT,FALSE,AM,regional,Eurocontrol,514,EUR,2024
IE,FALSE,LT,regional,Eurocontrol,513,EUR,2024
PL,FALSE,CA,international,Northern America,513,EUR,2024
DE,TRUE,GE,regional,Eurocontrol,508,EUR,2024
BA,FALSE,AE,international,Middle East,507,EUR,2024
IT,FALSE,ME,regional,Eurocontrol,507,EUR,2024
GB,TRUE,RS,regional,Eurocontrol,505,EUR,2024
BG,FALSE,HU,regional,Eurocontrol,503,EUR,2024
ME,FALSE,IT,regional,Eurocontrol,503,EUR,2024
FR,TRUE,MT,regional,Eurocontrol,502,EUR,2024
GB,FALSE,MX,international,Southern America,500,EUR,2024
HR,FALSE,QA,international,Middle East,500,EUR,2024
ES,TRUE,LT,regional,Eurocontrol,497,EUR,2024
GB,FALSE,BB,international,Southern America,497,EUR,2024
GB,TRUE,MU,international,Africa,496,EUR,2024
SK,FALSE,EG,international,Middle East,496,EUR,2024
AT,FALSE,SI,regional,Eurocontrol,495,EUR,2024
DE,TRUE,NG,international,Africa,495,EUR,2024
DK,FALSE,RS,regional,Eurocontrol,495,EUR,2024
DE,FALSE,LB,international,Middle East,494,EUR,2024
ES,TRUE,PA,international,Southern America,494,EUR,2024
TR,FALSE,TW,international,Asia,493,EUR,2024
DK,FALSE,TH,international,Asia,492,EUR,2024
RO,FALSE,CZ,regional,Eurocontrol,492,EUR,2024
RS,FALSE,DK,regional,Eurocontrol,492,EUR,2024
NL,TRUE,JP,international,Asia,491,EUR,2024
NL,TRUE,TH,international,Asia,491,EUR,2024
FR,TRUE,JO,international,Middle East,490,EUR,2024
SE,FALSE,TH,international,Asia,489,EUR,2024
BG,FALSE,AE,international,Middle East,487,EUR,2024
CH,FALSE,EG,international,Middle East,485,EUR,2024
DE,TRUE,KW,international,Middle East,485,EUR,2024
NL,TRUE,TW,international,Asia,485,EUR,2024
GB,TRUE,LC,international,Southern America,484,EUR,2024
GR,FALSE,LV,regional,Eurocontrol,483,EUR,2024
LV,FALSE,GR,regional,Eurocontrol,483,EUR,2024
FR,TRUE,CO,international,Southern America,482,EUR,2024
GR,FALSE,NA,NA,NA,481,EUR,2024
MT,FALSE,MT,regional,Eurocontrol,480,EUR,2024
LU,FALSE,IE,regional,Eurocontrol,477,EUR,2024
CH,FALSE,HR,regional,Eurocontrol,474,EUR,2024
CH,FALSE,SA,international,Middle East,474,EUR,2024
PT,TRUE,HU,regional,Eurocontrol,474,EUR,2024
CH,TRUE,IS,international,Northern America,472,EUR,2024
CZ,FALSE,RO,regional,Eurocontrol,472,EUR,2024
GB,TRUE,SI,regional,Eurocontrol,472,EUR,2024
IE,FALSE,LU,regional,Eurocontrol,472,EUR,2024
DE,TRUE,NA,NA,NA,471,EUR,2024
DE,TRUE,LB,international,Middle East,469,EUR,2024
GB,TRUE,BS,international,Southern America,469,EUR,2024
LU,FALSE,GR,regional,Eurocontrol,469,EUR,2024
PT,FALSE,CZ,regional,Eurocontrol,469,EUR,2024
CH,TRUE,ZA,international,Africa,468,EUR,2024
IT,FALSE,MK,regional,Eurocontrol,468,EUR,2024
ES,TRUE,LV,regional,Eurocontrol,467,EUR,2024
MT,FALSE,NL,regional,Eurocontrol,466,EUR,2024
TR,FALSE,BD,international,Asia,466,EUR,2024
DE,FALSE,AZ,international,Asia,465,EUR,2024
DK,FALSE,GL,international,Northern America,465,EUR,2024
ES,TRUE,CR,international,Southern America,465,EUR,2024
ES,TRUE,SA,international,Middle East,465,EUR,2024
FI,FALSE,PT,regional,Eurocontrol,464,EUR,2024
GR,FALSE,BH,international,Middle East,464,EUR,2024
NL,TRUE,SR,international,Southern America,464,EUR,2024
CZ,FALSE,NO,regional,Eurocontrol,463,EUR,2024
LU,FALSE,PL,regional,Eurocontrol,463,EUR,2024
PL,FALSE,LU,regional,Eurocontrol,461,EUR,2024
SI,FALSE,AT,regional,Eurocontrol,460,EUR,2024
CY,FALSE,EG,international,Middle East,459,EUR,2024
GB,FALSE,JO,international,Middle East,458,EUR,2024
LV,FALSE,CZ,regional,Eurocontrol,458,EUR,2024
MD,FALSE,AM,regional,Eurocontrol,457,EUR,2024
DK,FALSE,CY,regional,Eurocontrol,456,EUR,2024
FR,FALSE,LB,international,Middle East,456,EUR,2024
NL,TRUE,LT,regional,Eurocontrol,456,EUR,2024
NO,FALSE,CZ,regional,Eurocontrol,456,EUR,2024
DE,TRUE,BH,international,Middle East,453,EUR,2024
GB,FALSE,RS,regional,Eurocontrol,453,EUR,2024
GB,TRUE,JM,international,Southern America,453,EUR,2024
BE,FALSE,SA,international,Middle East,452,EUR,2024
CY,FALSE,DK,regional,Eurocontrol,452,EUR,2024
LT,FALSE,AT,regional,Eurocontrol,452,EUR,2024
AM,FALSE,MD,regional,Eurocontrol,451,EUR,2024
IT,FALSE,SI,regional,Eurocontrol,451,EUR,2024
DE,TRUE,BA,regional,Eurocontrol,450,EUR,2024
ME,FALSE,FR,regional,Eurocontrol,450,EUR,2024
CZ,FALSE,LV,regional,Eurocontrol,449,EUR,2024
DE,TRUE,MK,regional,Eurocontrol,449,EUR,2024
NL,FALSE,DK,regional,Eurocontrol,448,EUR,2024
AT,FALSE,LT,regional,Eurocontrol,446,EUR,2024
FR,TRUE,ZA,international,Africa,446,EUR,2024
CH,FALSE,NO,regional,Eurocontrol,445,EUR,2024
ES,FALSE,MT,regional,Eurocontrol,445,EUR,2024
LT,FALSE,EE,regional,Eurocontrol,444,EUR,2024
HU,FALSE,NO,regional,Eurocontrol,442,EUR,2024
LU,FALSE,HK,international,China,442,EUR,2024
GR,FALSE,LU,regional,Eurocontrol,441,EUR,2024
MT,FALSE,CY,regional,Eurocontrol,441,EUR,2024
DE,FALSE,SG,international,Asia,440,EUR,2024
BA,FALSE,SA,international,Middle East,439,EUR,2024
FR,FALSE,BR,international,Southern America,439,EUR,2024
FR,TRUE,SI,regional,Eurocontrol,439,EUR,2024
DK,FALSE,CA,international,Northern America,438,EUR,2024
AL,FALSE,NL,regional,Eurocontrol,437,EUR,2024
DE,TRUE,MD,regional,Eurocontrol,435,EUR,2024
PT,TRUE,SE,regional,Eurocontrol,435,EUR,2024
HU,FALSE,QA,international,Middle East,434,EUR,2024
TR,FALSE,SN,NA,NA,434,EUR,2024
