DEP_CNTRY,IS_STUDY,DES_CNTRY,TFC_TYPE,DES_PRU,DEPS,REGION,YEAR
TR,FALSE,GE,regional,Eurocontrol,4273,EUR,2024
BE,FALSE,GR,regional,Eurocontrol,4240,EUR,2024
HR,FALSE,FR,regional,Eurocontrol,4240,EUR,2024
ES,TRUE,TR,regional,Eurocontrol,4207,EUR,2024
LU,FALSE,DE,regional,Eurocontrol,4204,EUR,2024
GR,FALSE,BE,regional,Eurocontrol,4198,EUR,2024
GB,FALSE,HR,regional,Eurocontrol,4194,EUR,2024
FI,FALSE,ES,regional,Eurocontrol,4154,EUR,2024
FI,FALSE,EE,regional,Eurocontrol,4149,EUR,2024
FR,TRUE,NL,regional,Eurocontrol,4123,EUR,2024
GE,FALSE,TR,regional,Eurocontrol,4113,EUR,2024
DE,TRUE,EG,international,Middle East,4093,EUR,2024
DE,FALSE,BG,regional,Eurocontrol,4084,EUR,2024
EE,FALSE,FI,regional,Eurocontrol,4076,EUR,2024
CH,TRUE,CH,regional,Eurocontrol,4059,EUR,2024
FI,FALSE,GB,regional,Eurocontrol,4049,EUR,2024
IT,FALSE,HR,regional,Eurocontrol,4039,EUR,2024
FR,FALSE,PL,regional,Eurocontrol,4018,EUR,2024
CH,TRUE,GR,regional,Eurocontrol,4016,EUR,2024
GR,FALSE,ES,regional,Eurocontrol,4015,EUR,2024
ES,TRUE,CO,international,Southern America,3994,EUR,2024
ES,TRUE,IE,regional,Eurocontrol,3984,EUR,2024
HR,FALSE,IT,regional,Eurocontrol,3983,EUR,2024
FR,TRUE,CA,international,Northern America,3967,EUR,2024
FR,TRUE,DK,regional,Eurocontrol,3961,EUR,2024
NL,FALSE,GB,regional,Eurocontrol,3961,EUR,2024
CH,TRUE,PT,regional,Eurocontrol,3947,EUR,2024
CZ,FALSE,TR,regional,Eurocontrol,3944,EUR,2024
TR,FALSE,CZ,regional,Eurocontrol,3922,EUR,2024
BE,FALSE,BE,regional,Eurocontrol,3895,EUR,2024
ES,TRUE,PL,regional,Eurocontrol,3862,EUR,2024
PT,TRUE,NL,regional,Eurocontrol,3861,EUR,2024
FR,FALSE,US,international,Northern America,3835,EUR,2024
DE,FALSE,FI,regional,Eurocontrol,3802,EUR,2024
GB,TRUE,QA,international,Middle East,3790,EUR,2024
CH,TRUE,NL,regional,Eurocontrol,3787,EUR,2024
AT,FALSE,PL,regional,Eurocontrol,3782,EUR,2024
PL,FALSE,AT,regional,Eurocontrol,3780,EUR,2024
CZ,FALSE,CZ,regional,Eurocontrol,3778,EUR,2024
DE,FALSE,XK,NA,NA,3769,EUR,2024
DE,TRUE,IN,international,Asia,3766,EUR,2024
DE,TRUE,AE,international,Middle East,3763,EUR,2024
FR,FALSE,RO,regional,Eurocontrol,3741,EUR,2024
TR,FALSE,MD,regional,Eurocontrol,3741,EUR,2024
MD,FALSE,TR,regional,Eurocontrol,3738,EUR,2024
NO,FALSE,FR,regional,Eurocontrol,3730,EUR,2024
HU,FALSE,FR,regional,Eurocontrol,3704,EUR,2024
ES,TRUE,AT,regional,Eurocontrol,3687,EUR,2024
BG,FALSE,IT,regional,Eurocontrol,3678,EUR,2024
BE,FALSE,US,international,Northern America,3663,EUR,2024
DK,FALSE,GR,regional,Eurocontrol,3649,EUR,2024
FR,TRUE,PT,regional,Eurocontrol,3649,EUR,2024
IT,FALSE,BG,regional,Eurocontrol,3644,EUR,2024
ME,FALSE,RS,regional,Eurocontrol,3641,EUR,2024
GR,FALSE,DK,regional,Eurocontrol,3639,EUR,2024
RS,FALSE,ME,regional,Eurocontrol,3639,EUR,2024
TR,FALSE,KW,international,Middle East,3636,EUR,2024
DK,FALSE,CH,regional,Eurocontrol,3632,EUR,2024
GR,FALSE,CZ,regional,Eurocontrol,3610,EUR,2024
CH,TRUE,AT,regional,Eurocontrol,3607,EUR,2024
TR,FALSE,QA,international,Middle East,3598,EUR,2024
RO,FALSE,GR,regional,Eurocontrol,3593,EUR,2024
CZ,FALSE,GR,regional,Eurocontrol,3588,EUR,2024
GR,FALSE,RO,regional,Eurocontrol,3580,EUR,2024
GB,FALSE,SE,regional,Eurocontrol,3574,EUR,2024
TR,FALSE,JO,international,Middle East,3553,EUR,2024
FR,TRUE,GR,regional,Eurocontrol,3550,EUR,2024
TR,FALSE,LB,international,Middle East,3523,EUR,2024
FR,TRUE,CN,international,China,3509,EUR,2024
GB,FALSE,EG,international,Middle East,3501,EUR,2024
DE,TRUE,FI,regional,Eurocontrol,3481,EUR,2024
NL,TRUE,AT,regional,Eurocontrol,3466,EUR,2024
CH,FALSE,NL,regional,Eurocontrol,3460,EUR,2024
GB,TRUE,MA,international,Africa,3448,EUR,2024
ES,TRUE,MX,international,Southern America,3447,EUR,2024
DE,FALSE,MA,international,Africa,3411,EUR,2024
TR,FALSE,HU,regional,Eurocontrol,3409,EUR,2024
TR,FALSE,RS,regional,Eurocontrol,3409,EUR,2024
FR,TRUE,PL,regional,Eurocontrol,3385,EUR,2024
ES,FALSE,CZ,regional,Eurocontrol,3381,EUR,2024
RS,FALSE,TR,regional,Eurocontrol,3372,EUR,2024
NL,TRUE,CN,international,China,3371,EUR,2024
IT,FALSE,LU,regional,Eurocontrol,3355,EUR,2024
PT,FALSE,IT,regional,Eurocontrol,3353,EUR,2024
PL,FALSE,BE,regional,Eurocontrol,3351,EUR,2024
LV,FALSE,DE,regional,Eurocontrol,3343,EUR,2024
AL,FALSE,DE,regional,Eurocontrol,3322,EUR,2024
TR,FALSE,DZ,international,Africa,3322,EUR,2024
BE,FALSE,PL,regional,Eurocontrol,3321,EUR,2024
