ICAO,DATE,PHASE,N_VALID,"(-INF,-60]","(-60,-55]","(-55,-50]","(-50,-45]","(-45,-40]","(-40,-35]","(-35,-30]","(-30,-25]","(-25,-20]","(-20,-15]","(-15,-10]","(-10,-5]","(-5,0]","(0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,INF)"
EDDF,2023-02-07,ARR,477,1,0,0,0,2,3,1,8,14,31,45,62,60,62,44,34,32,16,18,12,4,7,1,5,4,11
EDDF,2023-02-07,DEP,465,1,0,0,0,0,0,1,0,2,0,6,11,34,77,83,65,39,40,27,19,14,9,9,6,3,19
EDDF,2023-02-08,ARR,472,0,2,2,4,0,5,6,8,10,26,46,61,51,72,48,32,22,15,13,7,11,3,4,2,2,20
EDDF,2023-02-08,DEP,482,2,0,0,0,1,0,1,1,0,0,4,9,42,105,69,62,33,31,27,23,18,7,4,1,2,40
EDDF,2023-02-09,ARR,495,2,1,0,0,3,2,8,11,19,22,45,74,70,68,39,44,22,9,10,11,6,6,5,2,3,13
EDDF,2023-02-09,DEP,507,2,0,0,0,0,0,0,0,0,0,7,8,42,98,95,70,46,28,26,17,12,13,9,5,3,26
EDDF,2023-02-10,ARR,516,2,0,0,0,4,4,6,5,14,11,54,61,69,57,40,44,34,27,20,11,12,6,9,2,3,21
EDDF,2023-02-10,DEP,518,0,0,0,0,0,2,0,0,1,1,5,6,28,90,94,67,53,46,32,28,13,11,10,7,4,20
EDDF,2023-02-11,ARR,516,3,2,1,0,1,4,4,10,18,30,38,49,72,72,61,31,25,26,13,9,8,7,6,1,2,23
EDDF,2023-02-11,DEP,513,0,0,0,0,0,0,0,0,0,1,10,9,33,94,93,73,56,29,22,19,13,8,8,4,5,36
EDDF,2023-02-12,ARR,525,0,0,0,2,0,4,3,6,15,43,67,88,89,60,46,24,20,12,10,8,3,2,2,3,1,17
EDDF,2023-02-12,DEP,514,0,0,0,0,0,0,0,0,1,0,4,16,76,136,101,54,32,28,20,8,3,5,7,3,2,18
EDDF,2023-02-13,ARR,502,1,0,0,2,1,2,8,8,27,39,49,93,56,65,47,27,20,12,7,6,5,1,3,1,2,20
EDDF,2023-02-13,DEP,500,0,0,0,0,0,0,1,0,0,1,9,20,71,133,65,66,41,29,14,10,9,5,5,0,3,18
EDDF,2023-02-14,ARR,471,0,1,1,1,1,2,4,14,19,41,64,79,67,65,29,25,12,8,4,4,6,1,5,1,2,15
EDDF,2023-02-14,DEP,462,0,0,0,0,0,0,0,0,0,1,7,14,73,102,82,47,40,27,21,12,4,4,7,0,2,19
EDDF,2023-02-15,ARR,382,0,0,1,2,2,2,2,6,9,8,21,26,34,54,32,28,18,21,13,10,8,9,8,6,5,57
EDDF,2023-02-15,DEP,389,2,0,1,0,0,0,1,0,1,2,5,5,34,45,39,33,28,22,19,15,11,3,8,20,5,90
EDDF,2023-02-16,ARR,497,0,1,0,2,1,0,6,4,6,16,22,41,61,48,52,34,25,20,24,13,17,9,15,8,9,63
EDDF,2023-02-16,DEP,519,0,0,0,0,0,0,0,0,1,1,2,6,16,32,68,62,46,36,46,25,31,21,26,20,13,67
EDDF,2023-02-17,ARR,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
EDDF,2023-02-17,DEP,4,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
EDDF,2023-02-18,ARR,547,2,0,0,1,4,1,3,5,4,12,17,27,48,65,44,52,36,34,17,17,16,15,13,14,13,87
EDDF,2023-02-18,DEP,549,0,0,0,0,0,0,0,0,0,1,3,2,12,35,58,62,37,38,50,31,30,22,27,14,9,118
EDDF,2023-02-19,ARR,546,1,0,1,2,3,2,4,6,4,7,40,48,83,59,71,44,36,21,15,9,15,11,10,8,7,39
EDDF,2023-02-19,DEP,531,1,0,0,0,0,0,1,0,2,3,2,2,29,85,94,69,59,44,27,31,21,12,4,5,8,32
EDDF,2023-02-20,ARR,526,2,0,3,0,0,2,4,5,8,24,38,74,84,57,53,37,27,22,12,19,7,11,2,3,6,26
EDDF,2023-02-20,DEP,527,1,0,0,0,0,2,0,1,2,0,4,20,54,89,88,72,38,33,20,24,12,15,11,8,2,31
EDDF,2023-02-21,ARR,496,2,0,0,1,0,3,1,5,16,33,71,81,75,59,37,28,18,18,11,10,5,3,6,0,2,11
EDDF,2023-02-21,DEP,480,1,1,0,0,0,0,1,1,2,1,11,26,60,114,97,55,36,21,17,13,3,2,4,1,1,12
EDDF,2023-02-22,ARR,508,0,2,0,1,2,0,3,4,23,34,58,81,80,76,39,26,22,14,6,5,9,5,5,2,2,9
EDDF,2023-02-22,DEP,523,1,1,0,1,0,0,0,0,1,7,7,20,83,125,86,60,44,21,23,10,9,6,3,2,3,10
EDDF,2023-02-23,ARR,517,5,0,0,0,3,1,0,8,16,22,38,58,73,64,54,51,32,21,8,9,5,10,6,3,3,27
EDDF,2023-02-23,DEP,519,0,0,0,0,0,0,0,0,0,3,3,14,57,98,102,63,44,41,26,12,13,9,4,6,2,22
EDDF,2023-02-24,ARR,521,3,0,0,2,0,1,4,4,7,24,44,74,89,67,44,36,31,21,14,12,10,10,5,3,0,16
EDDF,2023-02-24,DEP,524,0,1,0,0,0,1,0,1,1,1,2,11,65,115,96,66,39,32,21,17,13,9,10,7,4,12
