ICAO,DATE,PHASE,ARRS100,ADD100,TOT_A100,AVG_ADD_TIME
LPPT,2019-02-28,ARR,267,623.3399999999997,7153.050000000001,2.3346067415730327
LPPT,2019-03-01,ARR,287,956.4166666666665,7943.933333333334,3.33246225319396
LPPT,2019-03-02,ARR,257,249.42666666666648,6479.433333333331,0.9705317769130991
LPPT,2019-03-03,ARR,267,1160.5466666666662,7231.416666666669,4.3466167290886375
LPPT,2019-03-04,ARR,285,481.61333333333346,7028.45,1.6898713450292402
LPPT,2019-03-05,ARR,256,1555.8000000000004,7413.383333333333,6.077343750000002
LPPT,2019-03-06,ARR,264,769.6633333333338,6864.166666666666,2.915391414141416
LPPT,2019-03-07,ARR,269,360.62,6734.466666666664,1.3405947955390334
LPPT,2019-03-08,ARR,289,603.0933333333328,7665.116666666669,2.0868281430219127
LPPT,2019-03-09,ARR,256,315.70333333333315,6531.416666666668,1.2332161458333326
LPPT,2019-03-10,ARR,276,675.1433333333331,7387.150000000002,2.4461714975845403
LPPT,2019-03-11,ARR,280,443.05666666666644,7278.983333333335,1.5823452380952372
LPPT,2019-03-12,ARR,253,455.1766666666665,6617.116666666667,1.7991172595520415
LPPT,2019-03-13,ARR,237,444.44333333333304,6244.3666666666695,1.8752883263009834
LPPT,2019-03-14,ARR,254,436.51999999999975,6655.566666666667,1.7185826771653534
LPPT,2019-03-15,ARR,296,590.4699999999997,7819.050000000003,1.99483108108108
LPPT,2019-03-16,ARR,256,362.1999999999999,6579.416666666666,1.4148437499999995
LPPT,2019-03-17,ARR,273,400.6666666666666,7058.866666666669,1.4676434676434673
LPPT,2019-03-18,ARR,284,548.8066666666664,7473.56666666667,1.9324178403755858
LPPT,2019-03-19,ARR,255,305.7866666666664,6536.166666666669,1.1991633986928094
LPPT,2019-03-20,ARR,253,300.77333333333314,6468.3666666666695,1.1888274044795777
LPPT,2019-03-21,ARR,260,108.87666666666652,6461.716666666669,0.4187564102564097
LPPT,2019-03-22,ARR,294,784.093333333333,7975.616666666668,2.666984126984126
LPPT,2019-03-23,ARR,248,345.27666666666653,6377.116666666669,1.3922446236559134
LPPT,2019-03-24,ARR,273,334.3999999999998,6917.850000000004,1.224908424908424
LPPT,2019-03-25,ARR,282,639.153333333333,7523.8,2.2665011820330956
LPPT,2019-03-26,ARR,246,545.8066666666664,6594.083333333334,2.2187262872628715
LPPT,2019-03-27,ARR,259,133.39999999999992,6439.083333333334,0.5150579150579148
LPPT,2019-03-28,ARR,270,199.1399999999999,6800.116666666665,0.7375555555555552
LPPT,2019-03-29,ARR,290,473.4699999999999,7572.949999999998,1.6326551724137928
LPPT,2019-03-30,ARR,252,454.2066666666666,6579.949999999998,1.802407407407407
LPPT,2019-03-31,ARR,293,675.7733333333331,7830.450000000001,2.306393629124004
LPPT,2019-04-01,ARR,301,818.9766666666662,8158.016666666665,2.720852713178293
LPPT,2019-04-02,ARR,288,690.4499999999999,7715.183333333333,2.397395833333333
LPPT,2019-04-03,ARR,287,1011.3733333333332,8034.4,3.523948896631823
LPPT,2019-04-04,ARR,292,824.2266666666666,7684.633333333332,2.8226940639269404
LPPT,2019-04-05,ARR,307,1510.7600000000002,8513.283333333333,4.921042345276874
LPPT,2019-04-06,ARR,306,906.5666666666666,7897.666666666666,2.962636165577342
LPPT,2019-04-07,ARR,309,1106.5166666666664,8160.083333333332,3.5809600862998914
LPPT,2019-04-08,ARR,308,939.2333333333335,7954.916666666664,3.049458874458875
LPPT,2019-04-09,ARR,303,857.59,8108.049999999998,2.8303300330033005
LPPT,2019-04-10,ARR,295,780.61,7996.03333333333,2.646135593220339
LPPT,2019-04-11,ARR,305,760.1666666666665,8226.233333333335,2.492349726775956
LPPT,2019-04-12,ARR,304,904.5666666666662,8273.9,2.9755482456140334
LPPT,2019-04-13,ARR,307,438.91333333333347,7459.766666666666,1.4296851248642783
LPPT,2019-04-14,ARR,307,1287.4600000000007,8301.333333333334,4.19368078175896
LPPT,2019-04-15,ARR,320,1123.5533333333328,8684.633333333333,3.511104166666665
LPPT,2019-04-16,ARR,289,896.22,7636.983333333334,3.1011072664359864
LPPT,2019-04-17,ARR,304,1103.06,8043.199999999999,3.628486842105263
LPPT,2019-04-18,ARR,306,1108.5666666666668,8379.81666666667,3.622766884531591
LPPT,2019-04-19,ARR,316,1290.0733333333335,8984.31666666667,4.082510548523207
LPPT,2019-04-20,ARR,305,431.52999999999986,7858.499999999997,1.414852459016393
LPPT,2019-04-21,ARR,305,620.4833333333328,8034.249999999999,2.0343715846994517
LPPT,2019-04-22,ARR,314,1329.8533333333332,8574.866666666667,4.2352016985138
LPPT,2019-04-23,ARR,309,1110.1400000000003,8277.949999999997,3.5926860841423958
LPPT,2019-04-24,ARR,302,1477.8733333333332,8374.616666666667,4.893620309050772
LPPT,2019-04-25,ARR,305,756.5366666666667,7684.683333333333,2.4804480874316943
LPPT,2019-04-26,ARR,309,1331.8799999999999,8864.183333333332,4.310291262135922
LPPT,2019-04-27,ARR,305,846.3633333333332,8274.666666666664,2.7749617486338796
LPPT,2019-04-28,ARR,302,711.6966666666667,8046.3499999999995,2.3566114790286976
LPPT,2019-04-29,ARR,312,977.3066666666662,8564.933333333334,3.1323931623931607
LPPT,2019-04-30,ARR,299,700.9199999999997,8005.083333333335,2.3442140468227417
LPPT,2019-05-01,ARR,294,686.9733333333331,7842.883333333335,2.3366439909297045
